Entity,Effectiveness,Importance,Population,Continent
Afghanistan,5.8,3.6,33831765,Asia
Algeria,7.8,1.2,40019528,Africa
Argentina,1.3,0.5,43477009,South America
Armenia,13.9,7.6,2921179,Asia
Australia,4.3,3.5,23947998,Oceania
Austria,11.8,9.5,8644037,Europe
Azerbaijan,13.3,13.9,9752859,Asia
Bangladesh,5.1,0.3,159383180,Asia
Belgium,5.1,2.6,11275332,Europe
Bosnia and Herzegovina,26,10.9,3518541,Europe
Brazil,4.5,0.7,201675534,South America
Bulgaria,7,5,7177516,Europe
Canada,10.5,6.3,35962236,North America
China,12.6,13.5,1396134164,Asia
Colombia,5.9,3,46969937,South America
Czechia,7.3,6.2,10524419,Europe
Democratic Republic of Congo,8.8,4.6,81035535,Africa
Denmark,4.1,3.4,5683698,Europe
Ecuador,2.1,0.4,16266228,South America
Ethiopia,2.1,0.7,103867140,Africa
Fiji,11.6,8.5,918583,Oceania
Finland,3.4,2,5479718,Europe
France,17.3,11.7,64916336,Europe
Germany,8,5.8,82077546,Europe
Ghana,8.4,4,28696071,Africa
Greece,17,11.7,10820901,Europe
Hong Kong,13.5,12.9,7366411,Asia
Iceland,2.3,1,330962,Europe
India,7.5,4.9,1328024492,Asia
Indonesia,7,2,261799249,Asia
Iran,8.5,0.4,82619365,Asia
Ireland,6.2,5.4,4702497,Europe
Italy,18.3,15.3,60575314,Europe
Japan,9.9,4.7,127275868,Asia
Kosovo,4.5,1.1,1779020,Europe
Latvia,14.3,8.4,1977874,Europe
Lebanon,8,2.6,6472470,Asia
Mexico,13.9,11.9,121072310,North America
Mongolia,6.6,5.1,2976528,Asia
Morocco,5.2,1.3,34607590,Africa
Netherlands,6.7,5.7,17107427,Europe
Nigeria,11.3,3.9,190671883,Africa
North Macedonia,11.3,10.2,1980366,Europe
Pakistan,12.6,6.3,217290885,Asia
Palestine,10.9,9.3,4521566,Asia
Panama,5.1,1.5,3960036,North America
Papua New Guinea,9.9,7.6,8743247,Oceania
Peru,8,2.5,30457600,South America
Philippines,2.2,0.5,105312986,Asia
Poland,10.3,8.3,38266314,Europe
Portugal,4.4,2,10370266,Europe
Romania,15.6,10.5,19871018,Europe
Russia,18.4,16,145307611,Europe
Saudi Arabia,2.4,1.5,29974944,Asia
Serbia,14.1,11.5,7177257,Europe
Slovenia,16.4,13.2,2059947,Europe
South Africa,9.9,6.4,56723537,Africa
South Korea,6.4,4.7,50983908,Asia
Spain,7.1,5.8,46683683,Europe
Sweden,5.9,4.3,9799482,Europe
Thailand,6.5,2.1,70540790,Asia
Tunisia,4.3,1.9,11402270,Africa
Turkey,8.3,3.6,80014221,Asia
Ukraine,15.4,12.2,45784903,Europe
United Kingdom,7,5.7,65382107,Europe
United States,9.6,8.8,326126498,North America
Vietnam,4.6,0.7,92823254,Asia
