Entity,Effectiveness,Importance,Population,Continent
Abkhazia,,,,Asia
Afghanistan,5.8,3.6,33831765,Asia
Akrotiri and Dhekelia,,,,Asia
Aland Islands,,,,Europe
Albania,,,2898634,Europe
Algeria,7.8,1.2,40019528,Africa
American Samoa,,,52895,Oceania
Andorra,,,72194,Europe
Angola,,,28157801,Africa
Anguilla,,,14235,North America
Antarctica,,,,Antarctica
Antigua and Barbuda,,,89422,North America
Argentina,1.3,0.5,43477009,South America
Armenia,13.9,7.6,2921179,Asia
Aruba,,,104200,North America
Australia,4.3,3.5,23947998,Oceania
Austria,11.8,9.5,8644037,Europe
Austria-Hungary,,,,Europe
Azerbaijan,13.3,13.9,9752859,Asia
Baden,,,,Europe
Bahamas,,,385355,North America
Bahrain,,,1369656,Asia
Bangladesh,5.1,0.3,159383180,Asia
Barbados,,,278997,North America
Bavaria,,,,Europe
Belarus,,,9487288,Europe
Belgium,5.1,2.6,11275332,Europe
Belize,,,356340,North America
Benin,,,11360681,Africa
Bermuda,,,63481,North America
Bhutan,,,740624,Asia
Bolivia,,,11014707,South America
Bonaire Sint Eustatius and Saba,,,24637,North America
Bosnia and Herzegovina,26,10.9,3518541,Europe
Botswana,,,2203276,Africa
Bouvet Island,,,,Antarctica
Brazil,4.5,0.7,201675534,South America
British Indian Ocean Territory,,,,Asia
British Virgin Islands,,,34522,North America
Brunei,,,422224,Asia
Bulgaria,7,5,7177516,Europe
Burkina Faso,,,18777488,Africa
Burundi,,,11047580,Africa
Cambodia,,,15623253,Asia
Cameroon,,,22763419,Africa
Canada,10.5,6.3,35962236,North America
Cape Verde,,,512405,Africa
Cayman Islands,,,61665,North America
Central African Republic,,,4629323,Africa
Chad,,,14647625,Africa
Channel Islands,,,,Europe
Chile,,,18047628,South America
China,12.6,13.5,1396134164,Asia
Christmas Island,,,,Asia
Cocos Islands,,,,Asia
Colombia,5.9,3,46969937,South America
Comoros,,,726685,Africa
Congo,,,5097583,Africa
Cook Islands,,,17469,Oceania
Costa Rica,,,4818044,North America
Cote d'Ivoire,,,25246346,Africa
Croatia,,,4183732,Europe
Cuba,,,11275068,North America
Curacao,,,166620,North America
Cyprus,,,1219504,Europe
Czechia,7.3,6.2,10524419,Europe
Czechoslovakia,,,,Europe
Democratic Republic of Congo,8.8,4.6,81035535,Africa
Denmark,4.1,3.4,5683698,Europe
Djibouti,,,1020315,Africa
Dominica,,,70429,North America
Dominican Republic,,,10434826,North America
East Germany,,,,Europe
East Timor,,,1205134,Asia
Ecuador,2.1,0.4,16266228,South America
Egypt,,,99597333,Africa
El Salvador,,,6183674,North America
Equatorial Guinea,,,1453926,Africa
Eritrea,,,3105554,Africa
Estonia,,,1314581,Europe
Eswatini,,,1142823,Africa
Ethiopia,2.1,0.7,103867140,Africa
Ethiopia (former),,,,Africa
Falkland Islands,,,3432,South America
Faroe Islands,,,48916,Europe
Fiji,11.6,8.5,918583,Oceania
Finland,3.4,2,5479718,Europe
France,17.3,11.7,64916336,Europe
French Guiana,,,266377,South America
French Polynesia,,,277878,Oceania
French Southern Territories,,,,Antarctica
Gabon,,,2040990,Africa
Gambia,,,2224532,Africa
Georgia,,,3791571,Asia
Germany,8,5.8,82077546,Europe
Ghana,8.4,4,28696071,Africa
Gibraltar,,,33213,Europe
Greece,17,11.7,10820901,Europe
Greenland,,,56048,North America
Grenada,,,114691,North America
Guadeloupe,,,403951,North America
Guam,,,164914,Oceania
Guatemala,,,15971745,North America
Guernsey,,,62259,Europe
Guinea,,,11767077,Africa
Guinea-Bissau,,,1786461,Africa
Guyana,,,758785,South America
Haiti,,,10523249,North America
Hanover,,,,Europe
Heard Island and McDonald Islands,,,,Antarctica
Hesse Electoral,,,,Europe
Hesse Grand Ducal,,,,Europe
Honduras,,,9237305,North America
Hong Kong,13.5,12.9,7366411,Asia
Hungary,,,9839210,Europe
Iceland,2.3,1,330962,Europe
India,7.5,4.9,1328024492,Asia
Indonesia,7,2,261799249,Asia
Iran,8.5,0.4,82619365,Asia
Iraq,,,37560535,Asia
Ireland,6.2,5.4,4702497,Europe
Isle of Man,,,83612,Europe
Israel,,,8052915,Asia
Italy,18.3,15.3,60575314,Europe
Jamaica,,,2802535,North America
Japan,9.9,4.7,127275868,Asia
Jersey,,,101223,Europe
Jordan,,,9544730,Asia
Kazakhstan,,,18084173,Asia
Kenya,,,47088527,Africa
Kiribati,,,116826,Oceania
Korea (former),,,,Asia
Kosovo,4.5,1.1,1779020,Europe
Kuwait,,,3834464,Asia
Kyrgyzstan,,,6001876,Asia
Laos,,,6801650,Asia
Latvia,14.3,8.4,1977874,Europe
Lebanon,8,2.6,6472470,Asia
Lesotho,,,2104613,Africa
Liberia,,,4659438,Africa
Libya,,,6531825,Africa
Liechtenstein,,,37424,Europe
Lithuania,,,2905772,Europe
Luxembourg,,,569541,Europe
Macao,,,622186,Asia
Madagascar,,,25426704,Africa
Malawi,,,17085585,Africa
Malaysia,,,31232796,Asia
Maldives,,,428165,Asia
Mali,,,18593022,Africa
Malta,,,444979,Europe
Marshall Islands,,,48822,Oceania
Martinique,,,383738,North America
Mauritania,,,3965959,Africa
Mauritius,,,1292282,Africa
Mayotte,,,245594,Africa
Mecklenburg Schwerin,,,,Europe
Mexico,13.9,11.9,121072310,North America
Micronesia (country),,,108727,Oceania
Modena,,,,Europe
Moldova,,,3287169,Europe
Monaco,,,36785,Europe
Mongolia,6.6,5.1,2976528,Asia
Montenegro,,,628147,Europe
Montserrat,,,4693,North America
Morocco,5.2,1.3,34607590,Africa
Mozambique,,,26547575,Africa
Myanmar,,,51089060,Asia
Nagorno-Karabakh,,,,Asia
Namibia,,,2374305,Africa
Nauru,,,10974,Oceania
Nepal,,,27823631,Asia
Netherlands,6.7,5.7,17107427,Europe
Netherlands Antilles,,,,North America
New Caledonia,,,283177,Oceania
New Zealand,,,4614037,Oceania
Nicaragua,,,6149418,North America
Niger,,,19939497,Africa
Nigeria,11.3,3.9,190671883,Africa
Niue,,,1803,Oceania
Norfolk Island,,,,Oceania
North Korea,,,25575355,Asia
North Macedonia,11.3,10.2,1980366,Europe
Northern Cyprus,,,,Asia
Northern Mariana Islands,,,51538,Oceania
Norway,,,5189776,Europe
Oman,,,4184897,Asia
Pakistan,12.6,6.3,217290885,Asia
Palau,,,17791,Oceania
Palestine,10.9,9.3,4521566,Asia
Panama,5.1,1.5,3960036,North America
Papua New Guinea,9.9,7.6,8743247,Oceania
Paraguay,,,6159106,South America
Parma,,,,Europe
Peru,8,2.5,30457600,South America
Philippines,2.2,0.5,105312986,Asia
Pitcairn,,,,Oceania
Poland,10.3,8.3,38266314,Europe
Portugal,4.4,2,10370266,Europe
Puerto Rico,,,3521810,North America
Qatar,,,2427337,Asia
Republic of Vietnam,,,,Asia
Reunion,,,865016,Africa
Romania,15.6,10.5,19871018,Europe
Russia,18.4,16,145307611,Europe
Rwanda,,,11640027,Africa
Saint Barthelemy,,,9617,North America
Saint Helena,,,5529,Africa
Saint Kitts and Nevis,,,47108,North America
Saint Lucia,,,174919,North America
Saint Martin (French part),,,37384,North America
Saint Pierre and Miquelon,,,5971,North America
Saint Vincent and the Grenadines,,,106975,North America
Samoa,,,201794,Oceania
San Marino,,,33926,Europe
Sao Tome and Principe,,,200306,Africa
Saudi Arabia,2.4,1.5,29974944,Asia
Saxony,,,,Europe
Senegal,,,14593336,Africa
Serbia,14.1,11.5,7177257,Europe
