Country,Year,ANTIGEN,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE
Afghanistan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Albania,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Algeria,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Andorra,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Angola,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,54
Antigua and Barbuda,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Argentina,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,66
Armenia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Australia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Austria,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Azerbaijan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Bahamas,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Bahrain,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bangladesh,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Barbados,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Belarus,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belgium,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belize,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Benin,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Bhutan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bolivia (Plurinational State of),2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Bosnia and Herzegovina,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Botswana,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Brazil,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Brunei Darussalam,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bulgaria,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Burkina Faso,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Burundi,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Cabo Verde,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Cambodia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Cameroon,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Canada,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Central African Republic,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
Chad,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,67
Chile,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
China,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Colombia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Comoros,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Congo,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Cook Islands,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Costa Rica,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Côte d'Ivoire,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Croatia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Cuba,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Cyprus,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Czechia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Democratic People's Republic of Korea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,16
Democratic Republic of the Congo,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Denmark,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Djibouti,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Dominica,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,56
Dominican Republic,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Ecuador,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Egypt,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
El Salvador,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Equatorial Guinea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Eritrea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Estonia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Eswatini,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Ethiopia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Fiji,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Finland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
France,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Gabon,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Gambia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Georgia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Germany,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Ghana,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Greece,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Grenada,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Guatemala,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Guinea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,47
Guinea-Bissau,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Guyana,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Haiti,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,51
Honduras,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Hungary,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
India,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Indonesia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Iran (Islamic Republic of),2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Ireland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Israel,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Italy,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Jamaica,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Japan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Jordan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Kazakhstan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kenya,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Kiribati,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Kuwait,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kyrgyzstan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Lao People's Democratic Republic,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Latvia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Lebanon,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,55
Lesotho,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Liberia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Libya,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Lithuania,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Luxembourg,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Madagascar,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Malawi,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Malaysia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Maldives,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mali,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Malta,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Marshall Islands,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Mauritania,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Mauritius,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Mexico,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Micronesia (Federated States of),2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Monaco,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mongolia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Montenegro,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Morocco,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Mozambique,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Myanmar,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,76
Namibia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Nauru,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Nepal,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Netherlands (Kingdom of the),2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
New Zealand,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Nicaragua,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Niger,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Nigeria,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,62
Niue,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
North Macedonia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Norway,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
"occupied Palestinian territory, including east Jerusalem",2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Oman,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Pakistan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Palau,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Panama,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,66
Papua New Guinea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,35
Paraguay,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Peru,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Philippines,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Poland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Portugal,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Qatar,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Republic of Korea,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Republic of Moldova,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Romania,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Russian Federation,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Rwanda,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Saint Kitts and Nevis,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Saint Lucia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Saint Vincent and the Grenadines,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Samoa,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
San Marino,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Sao Tome and Principe,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Saudi Arabia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Senegal,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Serbia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Seychelles,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Sierra Leone,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Singapore,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Slovakia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Slovenia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,89
Solomon Islands,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Somalia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
South Africa,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
South Sudan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Spain,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Sri Lanka,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Sudan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,51
Suriname,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Sweden,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Switzerland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Syrian Arab Republic,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,66
Tajikistan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Thailand,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Timor-Leste,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Togo,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Tonga,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Trinidad and Tobago,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Tunisia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Türkiye,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Turkmenistan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Tuvalu,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Uganda,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Ukraine,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
United Arab Emirates,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
United Kingdom of Great Britain and Northern Ireland,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
United Republic of Tanzania,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
United States of America,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Uruguay,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Uzbekistan,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Vanuatu,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Venezuela (Bolivarian Republic of),2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,54
Viet Nam,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Yemen,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,46
Zambia,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,80
Zimbabwe,2023,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Afghanistan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,58
Albania,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Algeria,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Andorra,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Angola,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
