Country,YEAR,TARGET_NUMBER,DOSES,COVERAGE
Afghanistan,2023,1962370,1891030,96.36
Albania,2023,22887,22448,98.08
Algeria,2023,925447,909515,98.28
Andorra,2023,,,
Angola,2023,1154497,1057363,91.59
Anguilla,2023,152,165,108.55
Antigua and Barbuda,2023,858,850,99.07
Argentina,2023,494208,380518,77
Armenia,2023,32766,31616,96.49
Aruba,2023,945,926,97.99
Australia,2023,,,
Austria,2023,,,
Azerbaijan,2023,85930,78701,91.59
Bahamas,2023,3395,3346,98.56
Bahrain,2023,17224,17086,99.2
Bangladesh,2023,3269440,4089710,125.1
Barbados,2023,2183,1984,90.88
Belarus,2023,64173,62618,97.58
Belgium,2023,,,
Belize,2023,6772,5733,84.66
Benin,2023,448161,498645,111.26
Bermuda,2023,431,425,98.61
Bhutan,2023,9847,9556,97.04
Bolivia (Plurinational State of),2023,237693,170472,71.72
Bosnia and Herzegovina,2023,26401,8394,85.2
Botswana,2023,56857,53339,93.81
Brazil,2023,2534306,2136620,84.31
British Virgin Islands,2023,275,252,91.64
Brunei Darussalam,2023,6088,6087,99.98
Bulgaria,2023,53037,50398,95.02
Burkina Faso,2023,862042,856823,99.39
Burundi,2023,484604,424007,87.5
Cabo Verde,2023,8201,7764,94.67
Cambodia,2023,346821,338642,97.64
Cameroon,2023,988683,890907,90.11
Canada,2023,,,
Cayman Islands,2023,815,804,98.65
Central African Republic,2023,194544,213142,109.56
Chad,2023,822216,920300,111.93
Chile,2023,176919,175765,99.35
China,2023,9739399,9447521,97
"China, Hong Kong SAR",2023,,,
"China, Macao SAR",2023,4209,4140,98.36
Colombia,2023,596676,539591,90.43
Comoros,2023,23491,18713,79.66
Congo,2023,246769,202617,82.11
Cook Islands,2023,199,189,94.97
Costa Rica,2023,50205,48513,96.63
Côte d'Ivoire,2023,1116979,1132150,101.36
Croatia,2023,,,
Cuba,2023,89608,88685,98.97
Cyprus,2023,10112,10112,100
Czechia,2023,110631,106493,96.26
Democratic People's Republic of Korea,2023,302551,124383,
Democratic Republic of the Congo,2023,4322620,4206572,97.32
Denmark,2023,59099,57397,97.12
Djibouti,2023,18457,17597,95.34
Dominica,2023,658,650,98.78
Dominican Republic,2023,185470,195408,105.36
Ecuador,2023,241750,240075,99
Egypt,2023,2084513,2040528,97.89
El Salvador,2023,75331,72670,96.47
Equatorial Guinea,2023,20550,16438,79.99
Eritrea,2023,104374,79518,76.19
Estonia,2023,13885,10142,73.04
Eswatini,2023,30887,27602,89.36
Ethiopia,2023,3424951,3567330,104.16
Fiji,2023,16835,16579,98.48
Finland,2023,,,98
France,2023,,,98.8
French Polynesia,2023,,,
Gabon,2023,79453,58106,73.13
Gambia,2023,90166,75594,83.84
Georgia,2023,37604,36087,96
Germany,2023,,,
Ghana,2023,1252123,1197577,95.64
Greece,2023,,,
Grenada,2023,1482,1370,92.44
Guam,2023,,,
Guatemala,2023,345359,324127,93.85
Guinea,2023,490406,477694,97.41
Guinea-Bissau,2023,72712,58467,80.41
Guyana,2023,14081,14676,104.23
Haiti,2023,272870,285731,104.71
Honduras,2023,201319,148611,73.82
Hungary,2023,87089,87047,99.95
Iceland,2023,4530,4324,95.45
India,2023,26576295,24795618,93.3
Indonesia,2023,4348937,3975972,91.42
Iran (Islamic Republic of),2023,1061908,1055288,99.38
Iraq,2023,1073988,1040036,96.84
Ireland,2023,,,
Italy,2023,,,
Jamaica,2023,29226,28760,98.41
Japan,2023,831250,815570,98.11
Jordan,2023,172139,166574,96.77
Kazakhstan,2023,329740,323957,98.25
Kenya,2023,1692368,1405850,83.07
Kiribati,2023,3349,3344,99.85
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2023,22012,20936,95.11
Kuwait,2023,48468,49003,101.1
Kyrgyzstan,2023,141360,129086,91.32
Lao People's Democratic Republic,2023,148021,146179,98.76
Latvia,2023,14152,13852,97.88
Lebanon,2023,94153,79907,84.87
Lesotho,2023,30959,27579,89.08
Liberia,2023,189934,223464,117.65
Libya,2023,269511,256785,95.28
Lithuania,2023,21964,20476,93.23
Luxembourg,2023,,,
Madagascar,2023,1070946,992130,92.64
Malawi,2023,751353,714448,95
Malaysia,2023,423124,454429,107.4
Maldives,2023,5827,5806,99.64
Mali,2023,900292,967938,107.51
Malta,2023,4369,4331,99.13
Marshall Islands,2023,1448,1416,97.79
Mauritania,2023,159663,161485,101.14
Mauritius,2023,12703,10935,86.08
Mexico,2023,1802216,1602687,88.93
Micronesia (Federated States of),2023,2582,2520,97.6
Monaco,2023,,,
Mongolia,2023,63649,62149,97.64
Montenegro,2023,7268,6755,92.94
Montserrat,2023,35,30,85.71
Mozambique,2023,1115979,1335577,119.68
Myanmar,2023,937088,750341,80.07
Namibia,2023,97591,85550,87.66
Nepal,2023,515533,518840,100.64
Netherlands (Kingdom of the),2023,,,
New Caledonia,2023,,,
New Zealand,2023,60778,56417,92.82
Nicaragua,2023,126204,122790,97.29
Niger,2023,1057853,1133150,107.12
Nigeria,2023,8438832,8355539,99.01
Niue,2023,21,21,100
North Macedonia,2023,17079,15723,92.06
Northern Mariana Islands,2023,581,542,93.29
Norway,2023,57980,57388,98.98
"occupied Palestinian territory, including east Jerusalem",2023,140024,123762,88.39
Oman,2023,69740,69731,99.99
Pakistan,2023,6820120,7116624,104.35
Palau,2023,483,479,99.17
Panama,2023,59455,52371,88.09
Papua New Guinea,2023,323047,179426,55.54
Paraguay,2023,142485,95502,67.03
Peru,2023,480500,439778,91.53
Philippines,2023,2187333,1706543,78.02
Poland,2023,271400,,
Portugal,2023,,,
Qatar,2023,28020,27659,98.7
Republic of Korea,2023,253604,247365,97.54
Republic of Moldova,2023,28843,24262,84.1
Romania,2023,133914,85856,64.11
Russian Federation,2023,,,
Rwanda,2023,360595,335819,93.13
Saint Kitts and Nevis,2023,573,562,98.08
Saint Lucia,2023,1760,1683,95.63
Saint Vincent and the Grenadines,2023,1285,,
Samoa,2023,5229,5264,100.67
San Marino,2023,232,215,92.67
Sao Tome and Principe,2023,5598,4802,85.78
Saudi Arabia,2023,482846,468641,97.06
Senegal,2023,607110,,
Serbia,2023,63245,,
Seychelles,2023,1553,1529,98.45
Sierra Leone,2023,321515,326625,101.59
Singapore,2023,31391,30896,98.4
Slovakia,2023,57321,55176,96.26
Slovenia,2023,,,
Solomon Islands,2023,17193,15802,91.91
Somalia,2023,677778,647506,95.53
South Africa,2023,1135768,915577,80.61
South Sudan,2023,446989,596208,133
